node,indegree,outdegree,kcore
979,2,1,3
1210,2,2,3
2948,2,4,3
3215,1,0,1
4070,3,1,2
4179,1,2,2
4360,0,2,1
7203,0,2,2
8430,1,1,1
8850,3,10,6
9092,1,0,1
10143,1,0,1
10907,1,0,1
11406,1,0,1
12275,1,3,4
13281,2,2,3
13351,2,1,2
13547,0,2,2
13639,0,1,1
13731,1,0,1
13751,11,6,7
14001,2,1,3
15691,2,1,1
16353,1,2,3
16668,1,0,1
16816,1,1,1
18057,1,1,2
18463,1,0,1
18757,2,2,2
20039,0,2,2
20260,1,0,1
22381,1,5,4
22385,2,0,1
22845,6,5,3
22929,1,0,1
23156,1,1,2
23188,6,2,4
24194,0,1,1
24613,1,2,3
24872,0,1,1
25699,0,1,1
27005,0,1,1
27781,17,5,7
27807,2,4,4
28265,3,2,4
28755,1,0,1
29060,0,1,1
29460,13,6,7
30767,4,5,4
31520,0,1,1
31826,0,1,1
31943,1,1,1
32006,2,4,3
32500,0,1,1
32674,0,1,1
33102,0,2,2
33131,1,0,1
33270,1,1,2
33605,28,11,11
33728,4,2,4
34019,3,0,3
34052,1,0,1
35238,1,0,1
35599,2,0,2
35633,1,4,4
36337,4,6,6
36901,1,0,1
36953,0,1,1
37907,2,2,2
39047,1,1,2
39191,0,1,1
39756,1,3,3
40378,2,1,2
40495,1,2,2
40968,0,2,2
41854,1,1,2
42345,0,1,1
42521,1,0,1
42645,26,8,9
42836,0,2,2
43200,1,3,3
43244,2,1,2
43636,6,4,6
45169,1,0,1
45483,1,0,1
46545,7,5,5
46574,3,2,3
47116,3,2,4
47185,2,3,3
48044,1,1,2
48087,1,1,1
48368,1,1,1
48599,1,3,3
49993,1,0,1
50161,0,1,1
50952,2,0,2
51061,2,1,2
51842,0,2,1
52774,2,2,2
53138,2,2,2
55745,0,2,2
55765,0,1,1
56973,7,4,5
57052,2,2,2
57447,0,1,1
57526,0,4,2
57889,1,0,1
58537,4,6,8
58737,1,0,1
58874,0,1,1
58922,0,2,2
60144,0,1,1
60154,2,1,2
60241,1,2,2
60494,1,0,1
60685,1,0,1
61103,2,3,2
61137,0,3,3
61162,0,1,1
61884,1,0,1
62420,0,3,2
62512,7,3,8
62524,3,1,2
62877,0,1,1
63047,1,3,3
63558,0,1,1
64531,1,1,2
64897,0,1,1
64999,1,0,1
65095,2,2,4
65360,1,0,1
65670,1,1,2
